Siruta,Judet,Populatie,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
103443,if,3133,7.242898180657517,0.0,10.126077242259814,0.0,0.0,0.0,0.0,0.0,0.0
62486,ct,2697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37912,bt,4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78873,gj,3241,0.0,0.0,1203.4767047207652,0.0,0.0,0.0,87.379821042888,0.0,0.0
144410,sb,927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0981661272923,0.0
29724,bh,4786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46108,bz,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54305,cs,2001,0.0,0.0,1565.2218890554723,0.0,0.0,0.0,0.0,0.0,0.0
87077,hd,25130,296.2888977317947,73.4900517309988,173.26736967767607,0.0,0.0,0.0,0.0,545.1658575407879,0.0
152617,tr,2808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0829772079772,0.0
5167,ab,1271,162.29110936270652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103470,gr,2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119858,ms,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136241,ph,2986,22.44675150703282,0.0,213.69624916275956,0.0,0.0,0.0,0.0,0.0,0.0
13365,ag,5250,27875.83961904762,2264.588761904762,2102.436380952381,1234.8954285714285,0.0,38554.328,0.0,19.668,0.0
128052,ot,2050,0.0,26.341463414634145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21560,bc,2870,5614.670034843206,0.6968641114982579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136250,ph,1911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95293,is,13935,335.9260853964837,97.36304269824184,315.50950843200576,0.0,3.372802296376032,0.0,0.0,118.59074273412271,0.0
160831,tl,2696,645.7581602373888,0.0,10.800445103857566,0.0,0.0,0.0,0.0,83.9729228486647,120.66283382789318
29760,bh,1580,561.9759493670886,87.09493670886076,0.0,0.0,0.0,0.0,0.0,42.24050632911393,1012.7069620253164
111685,mh,2586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37958,bt,3407,0.0,0.0,27.718227179336658,0.0,0.0,0.0,0.0,0.0,0.0
70726,dj,2073,580.2686927158708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62538,ct,5035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144456,sb,1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169039,vl,3689,0.0,0.0,27.235565193819465,0.0,0.0,0.0,0.0,0.0,0.0
54350,cs,1670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78926,gj,2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136269,ph,1726,82.9154113557358,0.0,0.0,0.0,0.0,0.0,0.0,2411.924681344148,0.0
13392,ag,15238,10531.253314083213,77.37892111825698,123.35444284026775,0.0,1.3375771098569367,1115.2150544690903,88.7930174563591,28.35004593778711,62.009253182832396
136278,ph,2113,0.0,0.0,79.26029342167534,5.648367250354945,0.0,0.0,0.0,20.518220539517273,0.0
152662,tr,1458,1.1117969821673526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177236,vn,6776,28.78999409681228,0.0,18.679899645808735,0.0,0.0,0.0,0.0,431.159386068477,0.0
119894,ms,7534,0.6475975577382532,1409.9025749933635,1070.9086806477303,0.0,0.0,18.12423679320414,0.0,3737.1233076718872,0.0
103513,if,6872,0.0919674039580908,0.0,1462.7179860302679,0.0,0.0,2300.0218277066356,854.3556461001164,0.0,0.0
70744,dj,4582,5.28524661719773,64.75709297250108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5210,ab,2716,1956.7319587628865,0.0,78.57658321060383,0.0,0.0,0.0,0.0,0.0,0.0
21597,bc,3510,0.0,0.0,184.67378917378917,0.0,0.0,0.0,0.0,0.0,0.0
87139,hd,9851,0.0,0.0,287.4943660542077,0.0,0.0,0.0,0.0,0.0,0.0
46180,bz,3448,0.0,0.0,755.3065545243619,0.0,0.0,0.0,0.0,0.0,0.0
128105,ot,6581,1.743504026743656,0.0,1.3918857316517246,0.0,0.0,0.0,0.0,0.0,0.0
177263,vn,2773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160877,tl,3287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.504107088530575
54387,cs,2612,3540.2128637059723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.88476263399696
29813,bh,3209,81.09192894982861,149.11218448114678,15.581177937052042,0.0,0.0,0.0,0.0,0.0,0.0
95355,is,12429,7.512269691849706,205.42441065250623,0.0,0.0,0.0,0.0,0.0,70.2379113363907,330.89371630863303
144508,sb,1160,0.0,0.0,3021.636206896552,0.0,0.0,0.0,0.0,1826.3793103448277,0.0
87175,hd,28952,85.7219190384084,100.01930781983974,81.17532467532467,0.0,0.0,0.0,0.0,5.223473335175463,32.170903564520586
54412,cs,3481,0.0,0.0,279.8810686584315,0.0,0.0,0.0,0.0,0.0,0.0
160911,tl,3530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103568,cl,1190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62609,ct,1841,70.61162411732754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144535,sb,1328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152724,tr,1213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.1005770816158,0.0
79004,gj,7704,69.80841121495327,0.0,0.7571391484942886,0.0,0.0,0.0,0.0,21.31217549325026,0.0
169119,vl,2514,0.0,0.0,94.10023866348449,0.0,0.0,0.0,0.0,0.0,0.0
95391,is,43383,7296.132125486942,3082.004126040154,183.02613927114308,0.0,1700.4978217274047,917.0665698545513,350.45513219463845,33.93446741811309,184.0454555932047
21668,bc,5167,28.118250435455778,0.0,800.0106444745501,0.0,0.0,23.85233210760596,0.0,0.0,0.0
111783,mh,3632,728.1450991189428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119974,ms,3062,5.028086218158067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46251,bz,1879,0.0,0.0,22.006386375731772,0.0,0.0,0.0,0.0,0.0,0.0
144553,sb,3566,170.02523836231072,526.6696578799775,0.0,0.0,0.0,0.0,0.0,14.312675266404936,0.0
38063,bt,7881,1274.077401345007,75.08374571754854,25.491054434716407,0.0,0.0,651.2880345133866,0.0,92.32533942393097,-0.12841010024108615
13490,ag,36955,1677.323203896631,321.9329995941009,347.2283046948992,1629.9486131781896,0.0,2566.6291976728453,125.94276823163307,19.99328913543499,80.98343931808957
87219,hd,4753,40.09004839049022,0.0,0.0,0.0,0.0,0.0,0.0,637.3330528087523,0.0
128178,ot,3009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152760,tr,4444,280.2722772277228,0.0,2.7554005400540054,0.0,0.0,0.0,0.0,0.0,0.0
5309,ab,2550,266.30901960784314,0.0,30.98941176470588,0.0,0.0,0.0,0.0,30.786666666666665,0.0
177352,vn,4310,130.49744779582366,400.1881670533643,0.0,0.0,0.0,0.0,0.0,422.0626450116009,0.0
111818,mh,582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29902,bh,3653,1053.1081303038598,0.0,94.23980290172462,0.0,0.0,0.0,0.0,0.0,0.0
87246,hd,1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62672,ct,3418,0.9622586307782329,0.0,0.0,0.0,0.0,173.84903452311292,0.0,1.978349912229374,0.0
13524,ag,4278,20.094670406732117,0.0,137.25198690977092,0.0,0.0,44.626460963066855,0.0,20.66503038803179,0.0
54485,cs,769,5.426527958387516,0.0,102.42132639791937,0.0,0.0,0.0,0.0,0.0,0.0
144599,sb,3734,0.0,39.434922335297266,235.15666845206212,0.0,0.0,0.0,0.0,0.0,0.0
103639,gr,3535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5336,ab,3174,225.04505356017643,0.0,100.63547574039067,0.0,0.0,0.0,0.0,6.364209199747952,0.0
21720,bc,3970,0.0,3.3513853904282116,2420.929974811083,0.0,0.0,0.0,0.0,0.0,0.0
128221,ot,2852,10.931626928471248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169182,vl,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70879,dj,4353,0.0,18.185848839880542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152797,tr,1774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160993,tl,2845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.29068541300526
54500,cs,1421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79077,gj,3312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144615,sb,2429,0.0,0.0,33.92301358583779,0.0,0.0,0.0,0.0,0.0,0.0
46313,bz,4775,246.41486910994763,577.189947643979,91.06848167539268,0.0,0.0,0.0,0.0,0.0,0.0
95471,is,14593,585.4529568971425,382.2761598026451,2.22037963407113,0.0,0.0,0.0,0.0,10.323990954567257,0.0
70897,dj,4316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62707,ct,3564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111863,mh,4232,0.0,0.0,114.51370510396976,0.0,0.0,0.0,0.0,0.0,0.0
87291,hd,15937,1270.9154797013239,4291.800527075359,863.3805609587752,0.0,0.0,1223.823429754659,21.826441613854552,144.50705904498966,641.5361736838803
29948,bh,2744,12.153790087463557,380.8822886297376,1784.33527696793,0.0,0.0,0.0,0.0,216.2671282798834,2836.252551020408
21757,bc,5420,0.0,0.0,18.41771217712177,0.0,0.0,0.0,0.0,0.0,0.0
177405,vn,3289,0.0,0.0,0.09121313469139557,0.0,0.0,0.0,0.0,0.0,0.0
54537,cs,1534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
